name,time,app,authority,status,times,时间,备注,
jkl,9,微博,0,allow,2,2:58,2：57睡前截图,
jkl,9,微博,1,allow,27,2:58,开机，但没有使用,
jkl,9,微信,0,allow,2,3:08,开机，但没有使用,
jkl,9,qq,0,allow,1,3:17,开机，但没有使用,
jkl,9,qq,1,allow,2,9:22,9:22睡醒,
jkl,9,微信,1,allow,1,9:22,,
jkl,12,绿洲,0,forbidden,102,11:53,,
jkl,12,支付宝,1,allow,2,9:25,,
jkl,12,微信,1,allow,2,9:42,,
jkl,12,微博,0,allow,3,9:43,,
jkl,12,夸克,1,allow,3,10:04,没有使用,
jkl,12,夸克,0,allow,11,10:04,没有使用,
jkl,12,微博,1,allow,156,10:37,,
jkl,12,qq,0,allow,4,11:21,,
jkl,12,qq,1,allow,6,11:48,,
jkl,12,微信,0,allow,12,11:57,,
jkl,12,中国大学MOOC,0,allow,3,11:58,,
jkl,15,绿洲,0,forbidden,2,12:14,,
jkl,15,微博,0,allow,1,12:04,,453
jkl,15,支付宝,0,allow,3,12:15,,306
jkl,15,支付宝,1,allow,21,12:20,,16702
jkl,15,微博,1,allow,119,14:22,,17772
jkl,15,qq,1,allow,19,12:31,,1873
jkl,15,qq,0,allow,10,14:31,,1018
jkl,15,微信,1,allow,2,14:52,,14044
jkl,15,微信,0,allow,14,14:55,,1403
jkl,18,精品推荐,0,forbidden,1,3:06,,33
jkl,18,同心云,0,forbidden,35,3:55,,285
jkl,18,造就,0,forbidden,1,4:02,,
jkl,18,500px中国版,0,forbidden,19,4:03,,
jkl,18,绿洲,0,forbidden,11,4:55,,
jkl,18,超级课程表,0,allow,5,3:05,,43
jkl,18,超级课程表,1,allow,9,3:05,,329
jkl,18,微博,0,allow,3,3:31,,456
jkl,18,微博,1,allow,44,3:31,,17816
jkl,18,百度,0,allow,2,3:42,,109
jkl,18,百度,1,allow,26,3:32,,3391
jkl,18,bilibili,0,allow,4,4:04,没有使用,34
jkl,18,bilibili,1,allow,5,4:04,没有使用,96
jkl,18,支付宝,4,allow,1,5:41,,100
jkl,18,支付宝,0,allow,7,4:55,,313
jkl,18,高德地图,1,allow,1,5:46,没有使用,6784
jkl,18,微信,1,allow,36,5:46,,
jkl,18,支付宝,1,allow,102,5:46,,16804
jkl,18,高德地图,0,allow,9,5:46,没有使用,1469
jkl,18,qq,0,allow,20,5:51,,1038
